"","Dpto","Pob2030","year","prob_2030","prob_2030_binom","prop_2030_comb","cant","cant_correg"
"1","Artigas","77069.0418434163","2030","0.655894936845902","1","1.06974374436384","0.824441253961095","1"
"2","Canelones","635618.606741561","2030","0.84748970629555","1","0.510029696709406","3.24184365219254","3"
"3","Cerro Largo","89700.3343294174","2030","0.115856225597799","0","0.111303520890473","0","0"
"4","Colonia","135706.483941725","2030","0.788382959344776","1","1.01236321750769","1.373842527199","1"
"5","Durazno","61721.4517281212","2030","0.32324462663674","0","0.598814034930732","0","0"
"6","Flores","25659.3936269699","2030","3.73790829725479e-08","0","0.00299624448272251","0","0"
"7","Florida","69719.0000314588","2030","0.115856225597799","0","0.117586178673723","0","0"
"8","Lavalleja","57155.8709651435","2030","0.223404606574617","0","0.260043080365969","0","0"
"9","Maldonado","225052.446433621","2030","0.415926663196508","0","0.629183627253605","0","0"
"10","Montevideo","1242210.32679907","2030","0.999999985941123","1","1.24581919985871","15.4756947538904","16"
"11","Paysandú","120988.511687917","2030","0.655894936845905","1","0.858908974471521","1.03918118496704","1"
"12","Río Negro","56686.5501231663","2030","0.501957123032493","1","0.986716240137895","0.55933539603919","1"
"13","Rivera","108955.558586845","2030","0.223404606574617","0","0.245317990648209","0","0"
"14","Rocha","81513.3198120802","2030","0.223404606574617","0","0.246150832290013","0","0"
"15","Salto","135860.055509419","2030","0.902269099741437","1","1.30135953713454","1.76802778952811","2"
"16","San José","121063.239055093","2030","0.32324462663674","0","0.284186814647132","0","0"
"17","Soriano","81260.5069933901","2030","0.415926663196508","0","0.677125589882516","0","0"
"18","Tacuarembó","95043.7021134331","2030","0.223404606574617","0","0.269995525363014","0","0"
"19","Treinta y Tres","45481.6948229707","2030","0.323244626636741","0","0.500258002827101","0","0"
"20","Extranjeros",NA,"2030",NA,NA,NA,NA,"1"
